jobId,title,category,company,location,salary,listing_time,url
74503709,"IT Infrastructure Officer (Morowali)","Administrasi Jaringan & Sistem","PT. BTR INDONESIA",Morowali,"Rp 7.000.000 – Rp 10.000.000 per month","29 menit yang lalu",https://www.jobstreet.co.id/id/job/74503709?type=standout&ref=search-standalone&origin=cardTitle
74503156,"IT Software QA Tester (Contract Based)","Uji Coba & Penjaminan Mutu","PT Aneka Search Indonesia",Setiabudi,,"2 jam yang lalu",https://www.jobstreet.co.id/id/job/74503156?type=standard&ref=search-standalone&origin=cardTitle
74501509,"Real Time Floor Monitoring (RTFM)","Meja Bantuan & Dukungan IT",Radikari,Semarang,,"8 jam yang lalu",https://www.jobstreet.co.id/id/job/74501509?type=standard&ref=search-standalone&origin=cardTitle
74501752,"Penelitian dan Pengembangan (Tenaga Ahli Pratama)","Administrasi Jaringan & Sistem","Jogja Tama Tri Cita",Yogyakarta,,"8 jam yang lalu",https://www.jobstreet.co.id/id/job/74501752?type=standard&ref=search-standalone&origin=cardTitle
74500940,"IT Help Desk","Meja Bantuan & Dukungan IT",Radikari,"Kebayoran Lama",,"8 jam yang lalu",https://www.jobstreet.co.id/id/job/74500940?type=standard&ref=search-standalone&origin=cardTitle
74500986,"Mitra Instalasi Kabel Rumah area Semarang","Administrasi Jaringan & Sistem","PT Solusindo Bintang Pratama",Semarang,,"8 jam yang lalu",https://www.jobstreet.co.id/id/job/74500986?type=standard&ref=search-standalone&origin=cardTitle
74501028,Surveillance,"Administrasi Jaringan & Sistem","PT. Jembatan Citra Nusantara",Yogyakarta,,"8 jam yang lalu",https://www.jobstreet.co.id/id/job/74501028?type=standard&ref=search-standalone&origin=cardTitle
74501464,"Admin Bank","Meja Bantuan & Dukungan IT","Peluang Kerjaku",Kemayoran,,"8 jam yang lalu",https://www.jobstreet.co.id/id/job/74501464?type=standard&ref=search-standalone&origin=cardTitle
74501476,"Teknisi Fiber Optik","Administrasi Jaringan & Sistem","PT. Jembatan Citra Nusantara",Sukoharjo,,"8 jam yang lalu",https://www.jobstreet.co.id/id/job/74501476?type=standard&ref=search-standalone&origin=cardTitle
74501501,"Teknisi Fiber Optik","Administrasi Jaringan & Sistem","PT. Jembatan Citra Nusantara",Yogyakarta,,"8 jam yang lalu",https://www.jobstreet.co.id/id/job/74501501?type=standard&ref=search-standalone&origin=cardTitle
74501605,"Network Operation Center","Administrasi Jaringan & Sistem","PT. Jembatan Citra Nusantara",Yogyakarta,,"8 jam yang lalu",https://www.jobstreet.co.id/id/job/74501605?type=standard&ref=search-standalone&origin=cardTitle
74501751,"Teknisi (Wings Group)","Meja Bantuan & Dukungan IT","BKK SMKN 5 Kota Bekasi",Bekasi,,"8 jam yang lalu",https://www.jobstreet.co.id/id/job/74501751?type=standard&ref=search-standalone&origin=cardTitle
74501141,"Admin IT","Administrasi Jaringan & Sistem","PT OS Selnajaya Indonesia","Kebayoran Lama",,"8 jam yang lalu",https://www.jobstreet.co.id/id/job/74501141?type=standard&ref=search-standalone&origin=cardTitle
74500973,"Teknisi Jaringan Wireless","Administrasi Jaringan & Sistem","PT. Jembatan Citra Nusantara",Yogyakarta,,"8 jam yang lalu",https://www.jobstreet.co.id/id/job/74500973?type=standard&ref=search-standalone&origin=cardTitle
74501479,"Website Developer",Developer/Programmer,"Company Confidential",Denpasar,,"9 jam yang lalu",https://www.jobstreet.co.id/id/job/74501479?type=standard&ref=search-standalone&origin=cardTitle
74499153,"Presales Engineer","Penjualan – Pra & Pasca",Karoooo,"Jakarta Raya",,"11 jam yang lalu",https://www.jobstreet.co.id/id/job/74499153?type=standard&ref=search-standalone&origin=cardTitle
74499321,"Test JOB [DO NOT APPLY]","Uji Coba & Penjaminan Mutu","Margarita Bar",Seminyak,,"13 jam yang lalu",https://www.jobstreet.co.id/id/job/74499321?type=standard&ref=search-standalone&origin=cardTitle
74499380,"Full Stack Developer",Developer/Programmer,"PT Mitra Prodin",Sukawati,,"13 jam yang lalu",https://www.jobstreet.co.id/id/job/74499380?type=standard&ref=search-standalone&origin=cardTitle
74497801,"Full Stack Developer",Developer/Programmer,"PT Sepuluh Sebelas Agensi","Jakarta Utara",,"14 jam yang lalu",https://www.jobstreet.co.id/id/job/74497801?type=standout&ref=search-standalone&origin=cardTitle
74497716,"Backend Developer",Developer/Programmer,"PT Sepuluh Sebelas Agensi","Jakarta Utara",,"14 jam yang lalu",https://www.jobstreet.co.id/id/job/74497716?type=standout&ref=search-standalone&origin=cardTitle
74494205,"Odoo Business Analyst","Analis Bisnis/Sistem","Dirakarya Amara Wangsa","Jakarta Raya","Rp 7.500.000 – Rp 10.000.000 per month","15 jam yang lalu",https://www.jobstreet.co.id/id/job/74494205?type=standard&ref=search-standalone&origin=cardTitle
74498332,"Project Manager for Marketing Agency (US Based/Remote)","Manajemen Program & Proyek",Paired,"Jakarta Raya",,"16 jam yang lalu",https://www.jobstreet.co.id/id/job/74498332?type=standard&ref=search-standalone&origin=cardTitle
74498347,"Team Lead Developer (Indonesia)",Developer/Programmer,"PT Xtremax Teknologi Indonesia",Bandung,,"16 jam yang lalu",https://www.jobstreet.co.id/id/job/74498347?type=standard&ref=search-standalone&origin=cardTitle
74494048,"SAP FICO Consultant (Senior)",Konsultan,"PT Equine Global","Jakarta Raya",,"16 jam yang lalu",https://www.jobstreet.co.id/id/job/74494048?type=standard&ref=search-standalone&origin=cardTitle
74494018,"SAP HCM CONSULTANT",Konsultan,"PT Equine Global","Jakarta Selatan",,"16 jam yang lalu",https://www.jobstreet.co.id/id/job/74494018?type=standard&ref=search-standalone&origin=cardTitle
